name,longitude,latitude,prov,date,key
"Lycorma delicatula (White, 1845)",-75.299373,40.639627,gbif,2020-05-29,2634401327
"Lycorma delicatula (White, 1845)",-75.059362,40.062344,gbif,2020-05-29,2634413216
"Lycorma delicatula (White, 1845)",-75.265854,39.961282,gbif,2020-05-25,2634414556
"Lycorma delicatula (White, 1845)",-75.107334,40.105804,gbif,2020-05-29,2634427285
"Lycorma delicatula (White, 1845)",-75.382263,40.006333,gbif,2020-05-31,2634434775
"Lycorma delicatula (White, 1845)",-75.115728,40.143999,gbif,2020-05-29,2634440350
"Lycorma delicatula (White, 1845)",-75.413562,39.998457,gbif,2020-05-24,2634446405
"Lycorma delicatula (White, 1845)",-75.421128,39.90052,gbif,2020-05-31,2634453718
"Lycorma delicatula (White, 1845)",-75.841172,40.029828,gbif,2020-05-27,2634458857
"Lycorma delicatula (White, 1845)",-75.648277,40.146279,gbif,2020-05-31,2634475766
"Lycorma delicatula (White, 1845)",-75.172658,40.020673,gbif,2020-05-30,2634478422
"Lycorma delicatula (White, 1845)",-75.628773,39.800586,gbif,2020-05-26,2634487816
"Lycorma delicatula (White, 1845)",-75.129034,40.131624,gbif,2020-05-29,2634500325
"Lycorma delicatula (White, 1845)",-75.48377,39.894027,gbif,2020-05-30,2634514511
"Lycorma delicatula (White, 1845)",-75.081283,40.142236,gbif,2020-05-31,2634521658
"Lycorma delicatula (White, 1845)",-75.374204,40.10474,gbif,2020-05-30,2634533470
"Lycorma delicatula (White, 1845)",-75.209228,40.023895,gbif,2020-05-27,2634553922
"Lycorma delicatula (White, 1845)",-75.126313,39.982284,gbif,2020-05-28,2634554108
"Lycorma delicatula (White, 1845)",-75.279268,40.209779,gbif,2020-05-29,2634555272
"Lycorma delicatula (White, 1845)",-75.0421,40.006275,gbif,2020-05-27,2634556045
"Lycorma delicatula (White, 1845)",-75.125349,40.069704,gbif,2020-05-25,2634563603
"Lycorma delicatula (White, 1845)",-75.141092,39.929756,gbif,2020-05-31,2634564876
"Lycorma delicatula (White, 1845)",-75.141403,39.968492,gbif,2020-05-24,2634567697
"Lycorma delicatula (White, 1845)",-75.098881,40.140761,gbif,2020-05-27,2634570989
"Lycorma delicatula (White, 1845)",-75.26871,40.710821,gbif,2020-05-30,2634585462
"Lycorma delicatula (White, 1845)",-75.328221,40.756345,gbif,2020-05-29,2634607287
"Lycorma delicatula (White, 1845)",-75.486305,39.773438,gbif,2020-05-30,2634613459
"Lycorma delicatula (White, 1845)",-75.119033,39.98332,gbif,2020-05-21,2641336249
"Lycorma delicatula (White, 1845)",-75.305153,40.156247,gbif,2020-05-30,2802599697
"Lycorma delicatula (White, 1845)",-75.787292,39.853225,gbif,2020-05-27,2802767740
