name,latitude,longitude,prov,date,key
Ailanthus altissima (Mill.) Swingle,-32.369862,-63.168935,gbif,2020-02-25,2647023281
Ailanthus altissima (Mill.) Swingle,-37.867897,-57.603783,gbif,2020-02-22,2647099992
Ailanthus altissima (Mill.) Swingle,-34.045847,-53.552819,gbif,2020-02-03,2647112855
Ailanthus altissima (Mill.) Swingle,-33.538203,-70.521295,gbif,2020-02-11,2647136345
Ailanthus altissima (Mill.) Swingle,-37.098435,-56.852702,gbif,2020-02-09,2647154539
Ailanthus altissima (Mill.) Swingle,37.45236,-5.234328,gbif,2020-02-01,2647175679
Ailanthus altissima (Mill.) Swingle,-41.303116,174.893524,gbif,2020-02-05,2647176051
Ailanthus altissima (Mill.) Swingle,-34.533519,-59.180077,gbif,2020-02-10,2649534065
Ailanthus altissima (Mill.) Swingle,-33.6072,-70.706005,gbif,2020-02-09,2649668011
Ailanthus altissima (Mill.) Swingle,-34.833926,-58.379337,gbif,2020-02-21,2649694944
Ailanthus altissima (Mill.) Swingle,38.503896,-121.414454,gbif,2020-02-06,2649729413
Ailanthus altissima (Mill.) Swingle,-33.324916,-62.033836,gbif,2020-02-17,2649751724
Ailanthus altissima (Mill.) Swingle,-36.913611,-72.815278,gbif,2020-02-09,2649820071
Ailanthus altissima (Mill.) Swingle,-34.628468,-68.34814,gbif,2020-02-09,2649949695
Ailanthus altissima (Mill.) Swingle,-33.032203,-68.829768,gbif,2020-02-03,2649982684
Ailanthus altissima (Mill.) Swingle,-34.257195,-58.958631,gbif,2020-02-08,2650055776
Ailanthus altissima (Mill.) Swingle,-35.59816,-64.564827,gbif,2020-02-10,2650055920
Ailanthus altissima (Mill.) Swingle,-33.383266,-71.111966,gbif,2020-02-26,2650058033
Ailanthus altissima (Mill.) Swingle,-34.779334,-56.35004,gbif,2020-02-29,2650064089
Ailanthus altissima (Mill.) Swingle,-34.623855,-60.937907,gbif,2020-02-24,2650083216
Ailanthus altissima (Mill.) Swingle,-34.775833,-58.194167,gbif,2020-02-03,2650126645
Ailanthus altissima (Mill.) Swingle,56.676705,12.867333,gbif,2020-02-12,2807840305
Ailanthus altissima (Mill.) Swingle,-33.776546,150.652359,gbif,2020-02-12,2873579643
Ailanthus altissima (Mill.) Swingle,-34.549593,148.353004,gbif,2020-02-13,2873628351
Ailanthus altissima (Mill.) Swingle,47.08893,7.13552,gbif,2020-02-06,2879113001
Ailanthus altissima (Mill.) Swingle,39.297805,-80.354679,gbif,2020-03-01,2576409745
Ailanthus altissima (Mill.) Swingle,34.226422,-118.161322,gbif,2020-03-01,2579381901
Ailanthus altissima (Mill.) Swingle,40.787911,-75.607764,gbif,2020-03-16,2580244778
Ailanthus altissima (Mill.) Swingle,41.307732,-73.560408,gbif,2020-03-15,2580268605
Ailanthus altissima (Mill.) Swingle,40.255278,-77.506482,gbif,2020-03-21,2596105419
Ailanthus altissima (Mill.) Swingle,35.954722,-79.099167,gbif,2020-03-31,2596136858
Ailanthus altissima (Mill.) Swingle,39.578388,-82.237708,gbif,2020-03-20,2596305444
Ailanthus altissima (Mill.) Swingle,37.038973,-119.516697,gbif,2020-03-20,2596335966
Ailanthus altissima (Mill.) Swingle,43.031803,-78.861834,gbif,2020-03-25,2596402091
Ailanthus altissima (Mill.) Swingle,35.325469,-119.204473,gbif,2020-03-23,2609153495
Ailanthus altissima (Mill.) Swingle,-35.18021,-59.068894,gbif,2020-03-10,2646978845
Ailanthus altissima (Mill.) Swingle,-34.884133,-58.103661,gbif,2020-03-08,2647150937
Ailanthus altissima (Mill.) Swingle,-33.36045,-70.484101,gbif,2020-03-31,2647278050
Ailanthus altissima (Mill.) Swingle,-33.376549,-70.723343,gbif,2020-03-15,2649463547
Ailanthus altissima (Mill.) Swingle,-34.368056,-55.211667,gbif,2020-03-21,2649576801
Ailanthus altissima (Mill.) Swingle,-38.059248,-57.562104,gbif,2020-03-09,2649776589
Ailanthus altissima (Mill.) Swingle,-33.488155,-64.433161,gbif,2020-03-09,2649781333
Ailanthus altissima (Mill.) Swingle,-37.953534,-57.773045,gbif,2020-03-02,2649955652
Ailanthus altissima (Mill.) Swingle,-32.951498,-68.855783,gbif,2020-03-23,2650085178
Ailanthus altissima (Mill.) Swingle,41.639962,-0.952373,gbif,2020-03-22,2650131696
Ailanthus altissima (Mill.) Swingle,36.394724,-95.053958,gbif,2020-04-02,2597682028
Ailanthus altissima (Mill.) Swingle,35.5464,-81.370755,gbif,2020-04-03,2597700162
Ailanthus altissima (Mill.) Swingle,35.040418,-106.740935,gbif,2020-04-03,2597717029
Ailanthus altissima (Mill.) Swingle,37.353594,-78.682683,gbif,2020-04-09,2597805107
Ailanthus altissima (Mill.) Swingle,36.83608,-76.575816,gbif,2020-04-08,2597813837
Ailanthus altissima (Mill.) Swingle,44.681833,33.686868,gbif,2020-04-02,2597820979
Ailanthus altissima (Mill.) Swingle,39.113593,-77.567784,gbif,2020-04-06,2597829605
Ailanthus altissima (Mill.) Swingle,-41.390446,173.088596,gbif,2020-04-04,2597850105
Ailanthus altissima (Mill.) Swingle,35.972043,-97.035836,gbif,2020-04-04,2597857150
Ailanthus altissima (Mill.) Swingle,36.000773,-84.021568,gbif,2020-04-05,2597860367
Ailanthus altissima (Mill.) Swingle,40.105871,-77.183044,gbif,2020-04-04,2597883280
Ailanthus altissima (Mill.) Swingle,35.815291,-118.457682,gbif,2020-04-07,2603291630
Ailanthus altissima (Mill.) Swingle,37.10767,-77.995719,gbif,2020-04-12,2603307448
Ailanthus altissima (Mill.) Swingle,40.458192,-77.17584,gbif,2020-04-11,2603308606
Ailanthus altissima (Mill.) Swingle,34.177006,-118.36986,gbif,2020-04-08,2603316199
Ailanthus altissima (Mill.) Swingle,40.290358,-77.089982,gbif,2020-04-10,2603343051
Ailanthus altissima (Mill.) Swingle,33.931176,-117.034988,gbif,2020-04-11,2603345290
Ailanthus altissima (Mill.) Swingle,29.581283,-98.537818,gbif,2020-04-14,2603354025
Ailanthus altissima (Mill.) Swingle,35.562978,-82.500516,gbif,2020-04-11,2603395535
Ailanthus altissima (Mill.) Swingle,35.752208,-82.736388,gbif,2020-04-06,2603453190
Ailanthus altissima (Mill.) Swingle,38.965295,-78.049757,gbif,2020-04-12,2603474782
Ailanthus altissima (Mill.) Swingle,37.174748,-121.842865,gbif,2020-04-13,2603478056
Ailanthus altissima (Mill.) Swingle,35.56543,-97.558765,gbif,2020-04-15,2603494364
Ailanthus altissima (Mill.) Swingle,39.679438,-76.702923,gbif,2020-04-14,2603495534
Ailanthus altissima (Mill.) Swingle,35.657861,51.071409,gbif,2020-04-11,2603528281
Ailanthus altissima (Mill.) Swingle,45.146659,7.944966,gbif,2020-04-18,2609106454
Ailanthus altissima (Mill.) Swingle,38.894131,-89.411987,gbif,2020-04-21,2609127030
Ailanthus altissima (Mill.) Swingle,35.820509,-79.796712,gbif,2020-04-18,2609140870
Ailanthus altissima (Mill.) Swingle,39.21452,16.88958,gbif,2020-04-18,2609178615
Ailanthus altissima (Mill.) Swingle,42.098405,-72.700379,gbif,2020-04-22,2609221621
Ailanthus altissima (Mill.) Swingle,36.494065,-80.651937,gbif,2020-04-06,2609229005
Ailanthus altissima (Mill.) Swingle,33.465047,-86.822503,gbif,2020-04-23,2609238099
Ailanthus altissima (Mill.) Swingle,41.68624,-87.573963,gbif,2020-04-22,2609275016
Ailanthus altissima (Mill.) Swingle,34.496144,-119.331902,gbif,2020-04-22,2609300401
Ailanthus altissima (Mill.) Swingle,43.081301,10.982975,gbif,2020-04-18,2609339431
Ailanthus altissima (Mill.) Swingle,40.695786,-75.205733,gbif,2020-04-22,2609345414
Ailanthus altissima (Mill.) Swingle,35.297452,-80.362937,gbif,2020-04-24,2610959201
Ailanthus altissima (Mill.) Swingle,38.691014,-121.448565,gbif,2020-04-24,2611015863
Ailanthus altissima (Mill.) Swingle,36.193208,-78.731848,gbif,2020-04-26,2611058878
Ailanthus altissima (Mill.) Swingle,42.443946,-123.332612,gbif,2020-04-25,2611070959
Ailanthus altissima (Mill.) Swingle,38.918167,-78.194444,gbif,2020-04-24,2611071991
Ailanthus altissima (Mill.) Swingle,38.992619,-76.327142,gbif,2020-04-27,2611080557
Ailanthus altissima (Mill.) Swingle,39.0512,-77.334237,gbif,2020-04-27,2611084955
Ailanthus altissima (Mill.) Swingle,40.539471,-75.069091,gbif,2020-04-27,2611091482
Ailanthus altissima (Mill.) Swingle,32.81153,-96.799722,gbif,2020-04-29,2611095306
Ailanthus altissima (Mill.) Swingle,38.436778,-122.725386,gbif,2020-04-26,2611113244
Ailanthus altissima (Mill.) Swingle,36.166894,-95.936548,gbif,2020-04-25,2611147364
Ailanthus altissima (Mill.) Swingle,30.351314,-97.684545,gbif,2020-04-26,2611177673
Ailanthus altissima (Mill.) Swingle,35.962272,-81.120386,gbif,2020-04-24,2611182269
Ailanthus altissima (Mill.) Swingle,46.961778,31.988321,gbif,2020-04-28,2611219124
Ailanthus altissima (Mill.) Swingle,35.322795,-120.743796,gbif,2020-04-29,2611224154
Ailanthus altissima (Mill.) Swingle,40.04292,-75.251792,gbif,2020-04-30,2611224808
Ailanthus altissima (Mill.) Swingle,32.680342,-97.185167,gbif,2020-04-29,2611239286
Ailanthus altissima (Mill.) Swingle,33.154092,-96.816138,gbif,2020-04-27,2611248363
Ailanthus altissima (Mill.) Swingle,35.029164,-85.548363,gbif,2020-04-25,2611260329
Ailanthus altissima (Mill.) Swingle,42.412063,-73.676872,gbif,2020-04-27,2611271335
Ailanthus altissima (Mill.) Swingle,48.188709,16.537535,gbif,2020-04-27,2611297323
Ailanthus altissima (Mill.) Swingle,36.320916,-119.664116,gbif,2020-04-27,2611311316
Ailanthus altissima (Mill.) Swingle,35.48315,-82.282625,gbif,2020-04-25,2611313980
Ailanthus altissima (Mill.) Swingle,40.029275,-75.008561,gbif,2020-04-27,2611327431
Ailanthus altissima (Mill.) Swingle,36.480278,6.641667,gbif,2020-04-27,2611327543
Ailanthus altissima (Mill.) Swingle,38.862291,-78.327393,gbif,2020-04-27,2611332285
Ailanthus altissima (Mill.) Swingle,45.02733,8.81568,gbif,2020-04-29,2611354002
Ailanthus altissima (Mill.) Swingle,39.221072,-76.42923,gbif,2020-04-27,2611363453
Ailanthus altissima (Mill.) Swingle,35.626317,-78.777582,gbif,2020-04-26,2611373612
Ailanthus altissima (Mill.) Swingle,36.235692,-78.963647,gbif,2020-04-25,2611385038
Ailanthus altissima (Mill.) Swingle,37.984843,-122.032346,gbif,2020-04-27,2611393938
Ailanthus altissima (Mill.) Swingle,-43.58825,172.548945,gbif,2020-04-27,2611394595
Ailanthus altissima (Mill.) Swingle,33.59618,-99.261074,gbif,2020-04-30,2611407013
Ailanthus altissima (Mill.) Swingle,32.936884,-96.787105,gbif,2020-04-24,2619880979
Ailanthus altissima (Mill.) Swingle,40.548813,47.871243,gbif,2020-04-11,2619952471
Ailanthus altissima (Mill.) Swingle,35.837271,-78.782752,gbif,2020-04-18,2634003579
Ailanthus altissima (Mill.) Swingle,35.872967,-79.130478,gbif,2020-04-07,2634006527
Ailanthus altissima (Mill.) Swingle,38.987718,-76.545758,gbif,2020-04-26,2634248605
Ailanthus altissima (Mill.) Swingle,36.213878,-92.492462,gbif,2020-04-03,2862510373
Ailanthus altissima (Mill.) Swingle,46.69214,7.67248,gbif,2020-04-21,2878866375
Ailanthus altissima (Mill.) Swingle,33.801737,-117.523933,gbif,2020-05-02,2619906903
Ailanthus altissima (Mill.) Swingle,35.757676,-81.643499,gbif,2020-05-06,2619922805
Ailanthus altissima (Mill.) Swingle,39.102291,-77.697757,gbif,2020-05-01,2620036629
Ailanthus altissima (Mill.) Swingle,31.915572,-106.603015,gbif,2020-05-03,2620063745
Ailanthus altissima (Mill.) Swingle,31.102531,-97.469161,gbif,2020-05-07,2620066695
Ailanthus altissima (Mill.) Swingle,34.189273,-118.461946,gbif,2020-05-06,2620069793
Ailanthus altissima (Mill.) Swingle,36.127863,-78.839132,gbif,2020-05-03,2620093344
Ailanthus altissima (Mill.) Swingle,33.905605,-98.338569,gbif,2020-05-03,2620143939
Ailanthus altissima (Mill.) Swingle,35.052496,-81.142146,gbif,2020-05-06,2620171619
Ailanthus altissima (Mill.) Swingle,35.390617,-80.193039,gbif,2020-05-06,2620205482
Ailanthus altissima (Mill.) Swingle,41.484610000000004,14.078736,gbif,2020-05-07,2626106235
Ailanthus altissima (Mill.) Swingle,38.636533,-89.897665,gbif,2020-05-05,2626108708
Ailanthus altissima (Mill.) Swingle,42.156742,-72.812605,gbif,2020-05-19,2626167797
Ailanthus altissima (Mill.) Swingle,32.75288,-107.897299,gbif,2020-05-17,2626274155
Ailanthus altissima (Mill.) Swingle,39.759001,-105.230885,gbif,2020-05-16,2626293570
Ailanthus altissima (Mill.) Swingle,38.751605,-77.152198,gbif,2020-05-16,2626298392
Ailanthus altissima (Mill.) Swingle,37.254377,-80.17702,gbif,2020-05-10,2626307680
Ailanthus altissima (Mill.) Swingle,41.227242,-73.765992,gbif,2020-05-14,2626325864
Ailanthus altissima (Mill.) Swingle,40.882034,-85.49249,gbif,2020-05-12,2626377615
Ailanthus altissima (Mill.) Swingle,34.808881,-82.23028,gbif,2020-05-11,2626380454
Ailanthus altissima (Mill.) Swingle,38.052398,-87.556921,gbif,2020-05-13,2626398096
Ailanthus altissima (Mill.) Swingle,36.775392,-119.800568,gbif,2020-05-13,2626399007
Ailanthus altissima (Mill.) Swingle,35.234982,-80.654373,gbif,2020-05-17,2626405145
Ailanthus altissima (Mill.) Swingle,36.378673,-94.206484,gbif,2020-05-13,2626405773
Ailanthus altissima (Mill.) Swingle,-33.936858,18.856875,gbif,2020-05-20,2626413640
Ailanthus altissima (Mill.) Swingle,36.200833,-83.803333,gbif,2020-05-21,2626423155
Ailanthus altissima (Mill.) Swingle,37.796978,-78.88968,gbif,2020-05-07,2626425793
Ailanthus altissima (Mill.) Swingle,45.493988,8.797944,gbif,2020-05-16,2626459951
Ailanthus altissima (Mill.) Swingle,35.88261,-95.272852,gbif,2020-05-16,2626460002
Ailanthus altissima (Mill.) Swingle,44.62036,8.842672,gbif,2020-05-15,2626461579
Ailanthus altissima (Mill.) Swingle,36.166566,-80.54584,gbif,2020-05-15,2626510004
Ailanthus altissima (Mill.) Swingle,35.724706,-80.389939,gbif,2020-05-10,2626553981
Ailanthus altissima (Mill.) Swingle,41.042705,-73.589894,gbif,2020-05-19,2626576019
Ailanthus altissima (Mill.) Swingle,35.205238,-84.854103,gbif,2020-05-14,2626588247
Ailanthus altissima (Mill.) Swingle,45.146294,10.803008,gbif,2020-05-11,2626599006
Ailanthus altissima (Mill.) Swingle,34.918689,-85.178901,gbif,2020-05-14,2626604917
Ailanthus altissima (Mill.) Swingle,37.832805,-96.810928,gbif,2020-01-28,2626612237
Ailanthus altissima (Mill.) Swingle,40.670896,-74.120241,gbif,2020-05-21,2626614360
Ailanthus altissima (Mill.) Swingle,35.991447,-76.944938,gbif,2020-05-14,2626626089
