name,latitude,longitude,prov,date,key
"Lycorma delicatula (White, 1845)",40.717537,-74.571395,gbif,2020-08-30,2859893983
"Lycorma delicatula (White, 1845)",40.624558,-74.619295,gbif,2020-08-28,2859912650
"Lycorma delicatula (White, 1845)",40.436157,-74.802769,gbif,2020-08-29,2859924728
"Lycorma delicatula (White, 1845)",40.557062,-74.904045,gbif,2020-08-30,2859944974
"Lycorma delicatula (White, 1845)",41.054519,-74.932613,gbif,2020-08-25,2860061845
"Lycorma delicatula (White, 1845)",40.699253,-74.85698,gbif,2020-08-29,2860090856
"Lycorma delicatula (White, 1845)",41.042595,-75.349078,gbif,2020-08-22,2860100803
"Lycorma delicatula (White, 1845)",40.654723,-73.637752,gbif,2020-08-31,2860105136
"Lycorma delicatula (White, 1845)",40.645576,-75.979963,gbif,2020-08-30,2860161286
"Lycorma delicatula (White, 1845)",41.027364,-74.802238,gbif,2020-08-22,2862287506
"Lycorma delicatula (White, 1845)",29.377325,119.002806,gbif,2020-08-13,2868247486
"Lycorma delicatula (White, 1845)",40.839305,-75.690285,gbif,2020-09-03,2860027370
"Lycorma delicatula (White, 1845)",40.801657,-73.064307,gbif,2020-09-03,2860048460
"Lycorma delicatula (White, 1845)",40.351136,-76.465511,gbif,2020-09-02,2860068323
"Lycorma delicatula (White, 1845)",40.144046,-75.712983,gbif,2020-09-01,2860117451
"Lycorma delicatula (White, 1845)",40.326774,-74.555284,gbif,2020-09-03,2860191386
"Lycorma delicatula (White, 1845)",40.475239,-76.293473,gbif,2020-09-08,2862305239
"Lycorma delicatula (White, 1845)",40.883392,-74.028861,gbif,2020-09-04,2862311692
"Lycorma delicatula (White, 1845)",40.293167,-75.038864,gbif,2020-09-07,2862325089
"Lycorma delicatula (White, 1845)",40.902637,-74.982553,gbif,2020-09-06,2862344863
"Lycorma delicatula (White, 1845)",40.058324,-74.405661,gbif,2020-09-03,2862363136
"Lycorma delicatula (White, 1845)",40.249935,-75.924384,gbif,2020-09-07,2862445129
"Lycorma delicatula (White, 1845)",39.09227,-74.726403,gbif,2020-09-10,2862450428
"Lycorma delicatula (White, 1845)",40.911097,-76.095628,gbif,2020-09-08,2862463270
"Lycorma delicatula (White, 1845)",40.746155,-73.943621,gbif,2020-09-05,2862487761
"Lycorma delicatula (White, 1845)",39.462964,-74.443144,gbif,2020-09-06,2862493840
"Lycorma delicatula (White, 1845)",39.841563,-76.316855,gbif,2020-09-04,2862526697
"Lycorma delicatula (White, 1845)",39.76191,-75.742961,gbif,2020-09-08,2862573158
"Lycorma delicatula (White, 1845)",40.66487,-73.963028,gbif,2020-09-04,2862577611
"Lycorma delicatula (White, 1845)",39.709964,-76.347294,gbif,2020-09-09,2862651345
"Lycorma delicatula (White, 1845)",40.702959,-74.699756,gbif,2020-09-08,2864572609
"Lycorma delicatula (White, 1845)",40.146617,-76.379892,gbif,2020-09-11,2864651278
"Lycorma delicatula (White, 1845)",39.544249,-76.057113,gbif,2020-09-11,2864662582
"Lycorma delicatula (White, 1845)",40.440523,-80.004054,gbif,2020-09-12,2864664726
"Lycorma delicatula (White, 1845)",40.213561,-75.331043,gbif,2020-09-11,2864675712
"Lycorma delicatula (White, 1845)",40.608752,-75.607414,gbif,2020-09-17,2864703151
"Lycorma delicatula (White, 1845)",40.637253,-74.492975,gbif,2020-09-09,2864736932
"Lycorma delicatula (White, 1845)",40.35375,-76.176901,gbif,2020-09-13,2864755240
"Lycorma delicatula (White, 1845)",40.102065,-74.6839,gbif,2020-09-12,2864766003
"Lycorma delicatula (White, 1845)",39.948578,-74.792967,gbif,2020-09-12,2864767739
"Lycorma delicatula (White, 1845)",39.906875,-75.591263,gbif,2020-09-12,2864815286
"Lycorma delicatula (White, 1845)",40.772958,-74.900112,gbif,2020-09-14,2864816018
"Lycorma delicatula (White, 1845)",40.021228,116.247537,gbif,2020-09-12,2864830630
"Lycorma delicatula (White, 1845)",37.45093,122.154455,gbif,2020-09-15,2864837708
"Lycorma delicatula (White, 1845)",41.130233,-75.73613,gbif,2020-09-17,2864872172
"Lycorma delicatula (White, 1845)",39.605441,-76.152323,gbif,2020-09-14,2864887504
"Lycorma delicatula (White, 1845)",40.984501,-75.457099,gbif,2020-09-19,2868082961
"Lycorma delicatula (White, 1845)",39.682633,-75.733987,gbif,2020-09-20,2868086645
